query_id,fold,question,gold_passage_id,gold_title,bm25_first_gold_rank,dense_first_gold_rank,hybrid_first_gold_rank,hybrid_transfer_first_gold_rank,hybrid_dense_weight,bm25_top5_ids,dense_top5_ids,hybrid_top5_ids
39,2,"Emma is committed for trial on 1 March. On 25 March, she first tells her lawyer she was at a movie with her sister at the time of the alleged offence and wants both to give evidence, but no notice has been filed. What procedural step is required before Emma, or her sister can give evidence that she was at the movie rather than at the scene of the offence?",4.25-c1-s1,4.25 Alibi,2,0,9,4,0.5,"[""4.6-c2-s1"", ""4.25-c1-s1"", ""8.4-c5-s1"", ""7.3.23.5-c4-s2"", ""7.3.23.7-c4-s2""]","[""4.15-c4-s1"", ""1.11-c14-s1"", ""7.4.5.3-c4-s1"", ""7.4.2.6-c5-s1"", ""7.4.4.1-c6-s1""]","[""4.6-c2-s1"", ""4.15-c4-s1"", ""1.10-c1-s3"", ""7.3.1.6-c1-s2"", ""4.1-c1-s1""]"
40,3,"Alex is charged with a robbery at a shopping centre at 8:15 pm. He leads evidence that he was having dinner with friends at a restaurant across town at that time, and the jury thinks there is a real chance this is true. Ignoring the standard elements of robbery, what more needs to be proven to establish Alex’s guilt?",4.25-c2-s2,4.25 Directions about alibi evidence,12,0,15,15,0.25,"[""3.6-c4-s3"", ""7.4.13-c2-s5"", ""7.4.12-c2-s5"", ""3.6-c3-s12"", ""8.4.1-c5-s2""]","[""7.5.2.2-c1-s1"", ""7.5.3.2-c1-s1"", ""7.5.2.1-c1-s1"", ""7.5.3.3-c1-s1"", ""7.5.3.1-c1-s1""]","[""7.5.3.2-c1-s1"", ""4.6-c10-s1"", ""3.6-c4-s3"", ""10.2.1-c6-s1"", ""7.4.13-c2-s5""]"
41,1,"Liam and Noah plan to break into a warehouse to steal electronics. Liam agrees to act as the lookout while Noah goes inside; during the burglary, Noah violently assaults a security guard. Liam is later charged as a secondary party to the assault. Under Victorian law, on what basis could Liam be found “involved in the commission” of the assault, even though he only agreed to help with the burglary?",5.1-c2-s1,5.1 Statutory Complicity (Victoria),7,17,1,1,0.25,"[""7.5.4-c4-s2"", ""5.2.5-c1-s1"", ""5.8.3-c1-s2"", ""5.2-c11-s1"", ""5.2-c2-s2""]","[""7.5.4.1-c1-s1"", ""7.5.6-c1-s4"", ""7.5.6-c2-s1"", ""7.5.4-c4-s3"", ""7.5.4.1-c2-s1""]","[""5.1-c2-s1"", ""7.5.4-c4-s2"", ""5.2-c1-s1"", ""7.5.6-c1-s2"", ""5.2-c11-s1""]"
42,3,"Courtney and Tom agree to sell what they think is a harmless “party pill” to strangers at a music festival. The pills are in fact a controlled drug, and the conduct clearly amounts to a criminal offence. For Courtney to be liable on the basis of this agreement, must the prosecution prove that she knew the substance was illegal?",5.2-c8-s1,5.2 Accused's mental state,22,80,12,12,0.25,"[""9.1.1-c5-s2"", ""9.1.1.3-c4-s1"", ""9.1.1.1-c4-s1"", ""9.1.2.3-c5-s1"", ""9.1.2.1-c5-s1""]","[""9.1.1-c7-s1"", ""9.1.1-c5-s4"", ""9.1.1.3-c4-s1"", ""9.1.1.1-c4-s1"", ""7.6.3.4-c1-s1""]","[""9.1.1.3-c4-s1"", ""9.1.1.1-c4-s1"", ""9.1.1.2-c1-s1"", ""9.1.2.3-c5-s1"", ""9.1.2.1-c5-s1""]"
43,2,"Noah convinces his 12-year-old nephew to deliver a sealed package to an address, telling him it contains “books for a friend,” when in fact Noah has filled the package with prohibited drugs. The nephew has no idea what is inside and believes he’s doing a harmless favour. If police intercept the drugs, can Noah be liable as a principal offender for drug trafficking?",5.9-c1-s2,5.9 Innocent Agent (Victorian Offences),0,0,0,0,0.5,"[""7.5.5-c1-s5"", ""7.5.6-c1-s6"", ""7.5.3-c3-s4"", ""7.6.1-c3-s10"", ""7.5.10-c2-s2""]","[""7.6.1-c3-s5"", ""7.6.1-c3-s7"", ""7.6.1.12-c1-s1"", ""7.6.1.3-c1-s1"", ""7.6.1.9-c1-s1""]","[""7.6.1-c3-s10"", ""7.6.1.9-c1-s1"", ""9.1.1.1-c4-s1"", ""7.6.1.3-c1-s1"", ""9.1.2-c6-s4""]"
44,1,"Jordan is a factory worker; Mia is his supervisor. They’re both charged with a Commonwealth conspiracy to commit an offence that requires an employer to ensure the safety of employees at a hazardous worksite. Two company directors, alleged to be the other parties to the agreement, have already been acquitted of the conspiracy. In these circumstances, can Jordan be found guilty of the conspiracy?",6.2-c9-s1,6.2 Defences,2,25,4,4,0.25,"[""6.1-c7-s1"", ""6.2-c9-s1"", ""5.8.1-c1-s1"", ""7.7.1-c1-s1"", ""6.2.1-c1-s2""]","[""6.1-c7-s1"", ""6.2-c10-s3"", ""6.2-c1-s1"", ""6.2.1-c1-s1"", ""6.1-c1-s1""]","[""6.1-c7-s1"", ""6.2.1-c1-s2"", ""5.8.1-c1-s1"", ""6.2-c9-s1"", ""6.2.1-c1-s1""]"
45,4,"Clyde, who has schizophrenia, assaults a stranger while experiencing delusions. He knows he is hitting a person but believes they are a “demon.” Does his mental illness, or his failure to appreciate the wrongfulness of his conduct, necessarily make his act involuntary?",7.1.1-c2-s2,"7.1.1 When is an Act or Omission ""Voluntary""?",2,32,6,2,0.5,"[""8.4-c5-s2"", ""7.1.1-c2-s2"", ""7.3.6-c6-s3"", ""7.2.3-c2-s2"", ""7.5.4-c3-s3""]","[""7.4.13-c3-s3"", ""8.4.1-c5-s2"", ""8.8-c3-s3"", ""10.1-c4-s6"", ""8.4-c5-s3""]","[""7.4.12-c3-s3"", ""8.8-c4-s11"", ""8.7-c4-s4"", ""8.4.1-c5-s2"", ""10.1-c4-s6""]"
46,3,"Jonah is driving when he suddenly suffers an unexpected convulsion, causing his leg to slam down on the accelerator and his car to mount the curb and hit a pedestrian. If the only cause of the collision was this sudden bodily movement during the convulsion, how should a court characterise his physical act for the purpose of criminal liability?",7.1.1-c3-s1,7.1.1 Types of Involuntary Acts,0,0,0,0,0.25,"[""7.1.1.1-c1-s2"", ""7.2.6.2-c4-s1"", ""7.2.5-c3-s6"", ""7.2.6.1-c4-s1"", ""7.2.5.1-c4-s2""]","[""7.2.5-c6-s3"", ""7.2.5.2-c3-s4"", ""7.4.15.1-c3-s1"", ""7.2.6.2-c1-s1"", ""7.2.5.1-c3-s4""]","[""7.2.6.2-c4-s1"", ""7.2.5.2-c6-s2"", ""7.2.5-c5-s3"", ""7.1.1.1-c1-s2"", ""7.2.5-c3-s6""]"
47,4,"At Andrew’s assault trial, there is no suggestion he was unconscious, seizing, or sleepwalking; all the evidence shows him standing, speaking, and then punching the complainant. Does the prosecution need specific evidence that the punch was voluntary, or can voluntariness be inferred from these circumstances?",7.1.1-c6-s2,7.1.1 The Evidentiary Presumption of Voluntariness,0,31,58,0,0.5,"[""7.4.8-c3-s8"", ""7.2.1.1-c3-s1"", ""7.2.1.3-c3-s1"", ""7.2.1A.1-c5-s1"", ""7.2.1-c4-s1""]","[""7.2.2.2-c3-s1"", ""7.3.5.1A-c2-s1"", ""7.1.1-c8-s5"", ""7.3.5.1-c4-s1"", ""7.1.1-c8-s1""]","[""7.3.5.1A-c2-s1"", ""7.3.5.1-c4-s1"", ""7.2.1A.1-c5-s1"", ""7.2.2.2-c3-s1"", ""7.2.2.1-c3-s1""]"
48,2,"Jacob sets off powerful fireworks in a small, crowded backyard. He later admits he knew people could get hurt but did it anyway. In Victoria, what level of criminal culpability best describes his conduct?",7.1.3-c1-s2,7.1.3 Recklessness,2,98,1,1,0.5,"[""8.8-c4-s11"", ""7.1.3-c1-s2"", ""7.4.6-c2-s3"", ""7.4.5-c3-s3"", ""7.4.10-c4-s3""]","[""7.4.15.2-c1-s1"", ""7.2.1-c6-s1"", ""7.5.21-c1-s1"", ""7.5.21-c3-s1"", ""7.5.16-c1-s1""]","[""7.1.3-c1-s2"", ""4.6-c4-s7"", ""7.2.5-c3-s1"", ""7.1.5-c3-s6"", ""7.8.3-c2-s5""]"
49,3,"Liam throws a heavy brick off a freeway overpass into peak-hour traffic. He later tells police, “I knew it might hit a car, but I didn’t really think much more about it.” At trial, the prosecution tells the jury that recklessness is established if Liam knew the brick “might” cause harm. Why is this an incorrect statement of the legal test for recklessness in Victoria?",7.1.3-c1-s3,7.1.3 Recklessness,26,2,7,7,0.25,"[""7.2.1-c5-s5"", ""7.3.1.3.1-c1-s3"", ""1.11-c6-s1"", ""1.5.1-c3-s1"", ""4.6.4-c1-s2""]","[""7.1.3-c1-s2"", ""7.1.3-c1-s3"", ""7.4.5-c3-s2"", ""7.4.6-c2-s2"", ""7.2.1-c5-s3""]","[""7.2.1-c5-s5"", ""7.4.6.1-c3-s1"", ""B7.4.6.1-c3-s1"", ""7.5.16-c5-s1"", ""7.4.6.3-c3-s1""]"
50,0,Abigail is on trial in Victoria for causing serious injury. She argues that the injury was “an accident” because she pushed a door open without looking and it unexpectedly hit someone on the other side. Can Abigail rely on a standalone defence of “accident” in Victoria?,7.1.4-c1-s1,7.1.4 Accident,0,1,17,0,0.5,"[""7.4.5-c4-s1"", ""7.4.2.8-c9-s1"", ""7.4.4-c1-s1"", ""7.4.2-c4-s3"", ""7.4.1-c1-s1""]","[""7.1.4-c1-s1"", ""7.7.1-c10-s5"", ""7.1.4-c2-s1"", ""7.4.3-c6-s1"", ""7.2.2.2-c5-s2""]","[""7.2.2.2-c5-s2"", ""7.4.2-c4-s3"", ""7.4.2.5-c7-s2"", ""7.4.2.2-c1-s1"", ""7.4.5.3-c1-s2""]"
51,0,"Ethan punches Marcus once in the head during an argument. Marcus falls, hits his head on the gutter, and dies in hospital two days later. At trial, Ethan admits to killing Marcus by punching him. What elements must still be proved for Ethan to be convicted of murder?",7.2.1-c2-s1,7.2.1 Overview of Elements,0,3,18,0,0.5,"[""7.2.2-c2-s1"", ""7.2.1A-c2-s1"", ""7.2.2-c2-s10"", ""7.1.4-c2-s2"", ""8.12-c5-s1""]","[""7.2.2-c2-s1"", ""7.2.1-c3-s1"", ""7.2.1-c2-s1"", ""8.2.1-c2-s1"", ""8.12.1-c6-s1""]","[""7.2.2-c2-s1"", ""7.2.1.1-c8-s1"", ""7.2.1.3-c6-s1"", ""7.2.2.2-c4-s1"", ""8.12-c5-s1""]"
52,3,"Ethan admits he voluntarily and intentionally killed Marcus, a German Shepherd, without lawful justification. Name ONE element of murder that is missing here.",7.2.1-c2-s1,7.2.1 Overview of Elements,58,2,20,20,0.25,"[""7.2.1.1-c1-s1"", ""7.2.1.3-c1-s1"", ""7.3.3.2-c3-s1"", ""7.3.3.1-c3-s1"", ""7.3.2.5-c3-s1""]","[""7.2.1.1-c1-s1"", ""7.2.1-c2-s1"", ""7.2.1-c1-s1"", ""7.2.1.3-c1-s1"", ""7.2.2-c2-s2""]","[""7.2.1.1-c1-s1"", ""7.2.1.3-c1-s1"", ""7.4.2.7-c9-s2"", ""7.3.3.2-c3-s1"", ""7.3.3.1-c3-s1""]"
53,2,"Ethan, a sane 24-year-old, intentionally killed Marcus, a child, without lawful justification, and the jury accepts this beyond reasonable doubt. Under Victorian law, how could this still not amount to manslaughter or murder?",7.2.1-c3-s3,7.2.1 Acts which Caused the Victim’s Death,56,88,25,37,0.5,"[""7.2.1.1-c1-s1"", ""7.2.1.2-c1-s1"", ""7.2.1.3-c1-s1"", ""8.13.1-c1-s1"", ""7.2.1.3-c5-s1""]","[""7.2.1.3-c5-s1"", ""7.2.1.1-c6-s1"", ""7.2.3-c6-s8"", ""7.2.1A-c8-s1"", ""7.2.3.1-c3-s2""]","[""7.2.1.3-c5-s1"", ""7.2.1.1-c6-s1"", ""7.2.1.1-c1-s1"", ""7.2.1.3-c1-s1"", ""7.2.1.2-c1-s1""]"
54,3,"Harper, a New South Wales resident, shoots Riley in Sydney. Riley is stabilised in an NSW hospital, then transferred to a specialist trauma unit in Melbourne, where complications arise during surgery and he dies 10 days after the shooting. Can Harper be tried in a Victorian court?",7.2.1-c8-s1,7.2.1 Jurisdiction,3,1,1,1,0.25,"[""7.7.1-c7-s2"", ""4.15-c3-s5"", ""7.2.1-c8-s1"", ""7.5.22-c1-s3"", ""7.3.23-c6-s1""]","[""7.2.1-c8-s1"", ""7.2.1A-c6-s2"", ""8.12-c1-s1"", ""7.2.1A-c9-s1"", ""7.2.1A-c7-s1""]","[""7.2.1-c8-s1"", ""7.2.1A-c6-s2"", ""7.7.1-c7-s2"", ""4.15-c3-s5"", ""7.5.22-c1-s3""]"
55,4,"Mila fires a gun recklessly into a crowded apartment block corridor, committing the offence of reckless conduct endangering life. One of the bullets kills Jonah. The prosecution seeks to invoke statutory murder. On what basis could this reckless conduct offence be treated as a foundational offence?",7.2.1A-c3-s1,7.2.1A Death caused in course or furtherance of serious crime of violence,6,0,31,12,0.5,"[""7.2.1A-c6-s1"", ""7.2.1A-c2-s1"", ""7.2.1A-c7-s1"", ""7.4.14.1-c1-s1"", ""7.4.14.2-c1-s1""]","[""7.4.22-c4-s1"", ""5.7-c2-s10"", ""7.4.4-c1-s1"", ""7.2.1A-c6-s1"", ""7.2.1A-c1-s1""]","[""7.2.1A-c6-s1"", ""7.2.1A-c9-s1"", ""7.4.22-c4-s1"", ""7.2.1A.1-c1-s1"", ""7.4.14.2-c1-s1""]"
56,3,"During an argument outside a bar in 2016, Taylor swings once at Jordan’s jaw; Jordan falls backwards, hits their head on the curb and dies from the head injury. For manslaughter by an unlawful and dangerous act, which element of the offence does Crimes Act 1958 s 4A(4) help the jury assess?",7.2.2-c2-s1,7.2.2 The Elements,1,1,1,1,0.25,"[""7.2.2-c2-s1"", ""7.2.2-c2-s9"", ""7.2.2.2-c5-s1"", ""7.2.2.1-c5-s1"", ""7.2.2-c2-s5""]","[""7.2.2-c2-s1"", ""7.2.3-c2-s1"", ""8.2.9-c1-s2"", ""7.2.2.3-c1-s1"", ""7.2.2.1-c1-s1""]","[""7.2.2-c2-s1"", ""7.2.3-c2-s1"", ""8.2.9-c1-s2"", ""7.2.2.1-c1-s1"", ""7.2.2-c2-s9""]"
57,4,"The accused admits he did not actually think death or really serious injury was likely, but the jury is sure that any reasonable person in his position would have realised they were exposing the victim to an appreciable risk of serious injury. If both reckless murder and manslaughter are left, which verdict does this state of mind support?",7.2.2-c4-s1,7.2.2 Explain the Difference Between Reckless Murder and Manslaughter,2,5,1,1,0.5,"[""7.2.2-c2-s6"", ""7.2.2-c4-s1"", ""7.2.2-c2-s5"", ""7.2.2.2-c5-s1"", ""7.2.2.1-c5-s1""]","[""7.2.1-c5-s1"", ""7.2.1.3-c4-s1"", ""7.2.1.1-c4-s1"", ""7.2.1.4-c1-s2"", ""7.2.2-c4-s1""]","[""7.2.2-c4-s1"", ""7.2.1.3-c4-s1"", ""7.2.1.3-c1-s1"", ""7.2.1-c5-s1"", ""7.2.1.4-c1-s2""]"
58,1,"In 2010, Amir and Bella agree to “rough up” a debtor by slapping him around and threatening him, but nothing more. During the confrontation, Bella unexpectedly pulls a knife and fatally stabs the debtor. Amir is charged with manslaughter as a secondary party. If the prosecution relies on the doctrine that extends liability beyond the agreed lesser assault, what must they prove about Amir’s foresight of Bella’s escalation?",7.2.2-c5-s1,7.2.2 Accessorial Liability,1,32,1,1,0.25,"[""7.2.2-c5-s1"", ""5.2-c2-s2"", ""5.2-c4-s11"", ""5.2-c9-s2"", ""5.1-c5-s2""]","[""7.2.2.2-c4-s1"", ""8.7-c7-s4"", ""8.12.1-c6-s1"", ""7.2.2.1-c4-s1"", ""8.2-c7-s4""]","[""7.2.2-c5-s1"", ""5.2-c2-s2"", ""7.2.2.1-c1-s1"", ""5.2-c2-s3"", ""5.2-c4-s11""]"
59,1,"A person is sitting in the back seat of a moving taxi when the taxi strikes a pedestrian at a crossing, killing them instantly. The prosecution later alleges that this rear-seat passenger is guilty of culpable driving causing death because he was driving a motor vehicle at the time of the collision. Is this a sound argument?",7.2.5-c2-s1,7.2.5 Driving a Motor Vehicle,17,47,16,16,0.25,"[""7.2.5-c1-s1"", ""7.2.5.2-c7-s1"", ""7.2.5.1-c5-s1"", ""7.2.5.1-c1-s1"", ""7.2.5.2-c1-s1""]","[""7.2.6-c5-s6"", ""7.2.5-c5-s3"", ""7.2.6-c6-s1"", ""7.2.5-c1-s1"", ""7.2.5-c5-s4""]","[""7.2.5-c1-s1"", ""7.2.5.1-c1-s1"", ""7.2.5.6-c1-s1"", ""7.2.6.3-c1-s1"", ""7.2.6.1-c1-s1""]"
60,0,"In a culpable driving causing death trial, the prosecution tells the jury: “You cannot find the accused guilty unless you are sure he actually realised his driving fell well below that of an ordinary careful driver; if he was simply unaware of the danger, you must acquit.” Is this an accurate statement of the law?",7.2.5-c3-s8,7.2.5 Culpable Driving,0,3,41,0,0.5,"[""7.2.5.2-c3-s4"", ""7.2.5.1-c3-s4"", ""7.2.5.1-c4-s2"", ""7.2.5-c6-s2"", ""7.2.5-c9-s1""]","[""7.2.5-c3-s7"", ""7.2.5.2-c3-s4"", ""7.2.5-c3-s8"", ""7.2.6-c6-s1"", ""7.2.5.1-c3-s4""]","[""7.2.5.2-c3-s4"", ""7.2.5.1-c3-s4"", ""7.2.5.5-c1-s1"", ""7.2.6-c6-s1"", ""7.2.5.4-c1-s1""]"
61,2,Two friends agree to race their cars along a suburban street. One driver loses control and fatally hits a cyclist; the other does not crash. On what general basis could the second driver still be held responsible for the death?,7.2.5-c8-s1,7.2.5 Complicity,12,90,14,6,0.5,"[""7.2.6.1-c3-s1"", ""7.2.6.2-c3-s1"", ""7.9.1-c2-s3"", ""7.9.1-c2-s2"", ""7.2.5.2-c3-s1""]","[""7.2.5-c5-s3"", ""7.2.5-c5-s1"", ""7.2.6-c6-s1"", ""7.2.5-c5-s4"", ""7.2.5.1-c3-s4""]","[""7.2.6.2-c3-s1"", ""7.2.6.1-c3-s1"", ""7.2.5-c5-s3"", ""7.2.2-c2-s1"", ""7.2.3.1-c4-s1""]"
62,4,"While driving late at night, Jerry fails to see a cyclist and runs him over, killing him instantly. Jerry was not drunk, reckless or negligent. Why does it matter to the prosecution that Jerry knew his headlights were broken before driving?",7.2.6-c5-s5,7.2.6 Dangerous Driving,54,70,35,45,0.5,"[""7.2.6.1-c3-s2"", ""7.2.6.2-c3-s2"", ""7.2.5-c3-s6"", ""7.2.5.2-c2-s1"", ""7.2.5.1-c2-s1""]","[""7.2.5-c6-s3"", ""7.2.5-c3-s6"", ""7.2.5.1-c3-s6"", ""7.2.5.2-c3-s6"", ""7.2.6-c6-s1""]","[""7.2.5-c3-s6"", ""7.2.5.2-c3-s4"", ""7.2.6.1-c3-s2"", ""7.2.5.1-c3-s4"", ""7.2.6.2-c3-s2""]"
63,2,"Asha is Ben’s manager at work. One evening they both freely and voluntarily have sex. Two days after the act, Asha regrets her decision. Does this mean Asha's consent was violated?",7.3.1.2-c4-s10,7.3.1.2 Meaning of “Consent”,0,32,65,0,0.5,"[""7.3.1.2-c4-s5"", ""7.3.1.3-c5-s4"", ""7.7.1-c12-s3"", ""7.3.6-c6-s4"", ""7.3.12.1-c3-s3""]","[""7.3.1.3-c5-s5"", ""7.3.6-c6-s4"", ""7.3.15.4-c5-s6"", ""7.3.1.3-c5-s4"", ""7.3.1.3-c5-s6""]","[""7.3.1.3-c5-s4"", ""7.3.6-c6-s4"", ""7.3.13.5-c4-s4"", ""7.3.1.2-c4-s5"", ""11.2-c2-s1""]"
64,0,"Jones is on trial for an unnamed sexual offence. He says that, in his culture, silence or lack of resistance means agreement. In light of this explanation, what specific issue about Jones awareness must the jury determine when deciding his guilt?",7.3.13.5-c4-s6,7.3.13.5 Statutory defences and exclusions,79,0,0,79,0.5,"[""4.16-c4-s4"", ""4.16-c4-s1"", ""4.6-c4-s9"", ""4.6-c6-s5"", ""4.15-c3-s4""]","[""4.16-c4-s6"", ""4.6-c4-s9"", ""4.15-c7-s4"", ""7.3.6-c8-s1"", ""7.3.3-c2-s1""]","[""4.6-c4-s9"", ""4.16-c4-s4"", ""4.16-c4-s1"", ""4.15-c7-s4"", ""4.15-c3-s4""]"
65,1,"Jones is on trial for an unnamed sexual offence. He says that, in his culture, silence or lack of resistance means agreement. Must the jury learn more about this culture to decide whether he reasonably believed there was consent?",7.3.1.2-c8-s6,7.3.1.2 Directions on consent and reasonable belief in consent on request,21,39,6,6,0.25,"[""6.4.2-c4-s2"", ""7.3.15.4-c5-s6"", ""4.16-c4-s4"", ""7.3.17.5-c8-s2"", ""7.3.13.5-c4-s5""]","[""7.3.3-c2-s1"", ""7.3.1.3-c5-s6"", ""7.3.1.3-c5-s5"", ""7.3.17.6-c6-s2"", ""7.3.1.3-c5-s15""]","[""7.3.15.4-c5-s6"", ""7.3.17.6-c6-s2"", ""6.4.2-c4-s2"", ""7.3.17.8-c6-s2"", ""4.16-c4-s4""]"
66,3,"After an alleged sexual assault, Liam goes straight to his sister’s apartment and, sobbing and struggling to speak, tells her what happened. At trial, the prosecution calls his sister to describe his emotional state when he reported it. Why might Liam’s behaviour at that time be important evidence against the accused?",7.3.1.7-c1-s1,7.3.1.7 Distress,0,3,0,0,0.25,"[""4.15-c7-s3"", ""1.3.1-c1-s1"", ""10.2.1-c2-s1"", ""8.7-c7-s7"", ""8.7.2-c1-s2""]","[""7.3.1.7.1-c1-s1"", ""4.19-c2-s2"", ""7.3.1.7-c1-s1"", ""4.17-c5-s4"", ""7.3.1.7-c1-s5""]","[""4.17.2-c1-s1"", ""4.19.1-c1-s1"", ""7.3.1.7.1-c1-s1"", ""4.15-c7-s3"", ""1.3.1-c1-s1""]"
67,2,"At trial, the complainant describes an alleged sexual assault in a completely flat tone, without visible emotion. Some jurors think this means she is “probably lying.” Is this a valid assumption?",7.3.1.7-c1-s5,7.3.1.7 Distress,3,8,2,3,0.5,"[""7.3.1.7.1-c1-s1"", ""4.4-c5-s3"", ""7.3.1.7-c1-s5"", ""7.3.1.7-c1-s4"", ""1.11-c2-s1""]","[""4.6-c3-s5"", ""4.6-c3-s6"", ""7.3.1.4-c5-s2"", ""4.6-c3-s4"", ""4.4-c5-s3""]","[""4.4-c5-s3"", ""7.3.1.7-c1-s5"", ""7.3.1.7.1-c1-s1"", ""7.3.1.4-c5-s2"", ""7.3.4.4-c1-s1""]"
68,3,"Assume the year is 2012. Why is it problematic for a judge to direct the jury that the prosecution must prove the accused “intended to commit rape in the sense that, at the time of penetration, he knew the complainant was not or might not be consenting”?",7.3.2-c3-s1,7.3.2 General guidelines,2,24,4,4,0.25,"[""7.3.3-c2-s1"", ""7.3.2-c3-s1"", ""7.3.1.3-c5-s10"", ""7.3.4.1-c2-s1"", ""7.3.2.10-c1-s1""]","[""7.3.3-c2-s1"", ""7.3.2.3-c1-s1"", ""7.3.2.1-c1-s1"", ""7.3.2.10-c1-s1"", ""7.3.2.11-c1-s1""]","[""7.3.3-c2-s1"", ""7.3.2.10-c1-s1"", ""7.3.2.11-c1-s1"", ""7.3.2-c3-s1"", ""7.3.1.3-c5-s10""]"
69,3,"The prosecution alleges that the accused forced the complainant to put his own penis into his own mouth. Under the current statutory definition, does this amount to sexual penetration of oneself?",7.3.2-c4-s1,7.3.2 “Sexual penetration”,19,44,19,19,0.25,"[""7.3.13.9-c1-s1"", ""7.3.13.5-c1-s1"", ""7.3.13.6-c1-s1"", ""7.3.13.8-c1-s1"", ""7.3.13.3-c1-s1""]","[""7.3.25.7-c1-s2"", ""7.3.2-c4-s3"", ""7.3.4.3-c2-s1"", ""7.3.15.4-c1-s2"", ""7.3.10.3-c2-s1""]","[""7.3.10.1-c2-s1"", ""7.3.10.3-c2-s1"", ""7.3.15.4-c1-s2"", ""7.3.15.1-c1-s2"", ""7.3.15.3-c1-s2""]"
70,1,"In 2016, person A instructs person C to insert person C’s finger into person B’s mouth. Under the definition of “sexual penetration” in s 37D of the Crimes Act 1958, why does this not amount to person A sexually penetrating person B?",7.3.2-c4-s2,7.3.2 “Sexual penetration”,1,3,1,1,0.25,"[""7.3.2-c4-s2"", ""7.3.2-c1-s2"", ""7.3.2-c4-s1"", ""7.3.12-c2-s1"", ""7.3.14-c2-s1""]","[""7.3.2-c4-s3"", ""7.3.2-c4-s1"", ""7.3.2-c4-s2"", ""7.3.11-c2-s1"", ""7.3.25.7-c1-s2""]","[""7.3.2-c4-s2"", ""7.3.2-c4-s1"", ""7.3.12-c2-s1"", ""7.3.2-c4-s3"", ""7.3.14-c2-s1""]"
71,2,"In 2016, person A instructs person C to insert person C’s penis into person B’s mouth. Under the definition of “sexual penetration” in s 37D of the Crimes Act 1958, why does this amount to person A sexually penetrating person B?",7.3.2-c4-s2,7.3.2 “Sexual penetration”,1,5,2,1,0.5,"[""7.3.2-c4-s2"", ""7.3.2-c1-s2"", ""7.3.2-c4-s1"", ""7.3.12-c2-s1"", ""7.3.2-c8-s2""]","[""7.3.2-c4-s1"", ""7.3.11-c2-s1"", ""7.3.25.7-c1-s2"", ""7.3.3-c3-s1"", ""7.3.2-c4-s2""]","[""7.3.2-c4-s1"", ""7.3.2-c4-s2"", ""7.3.12-c2-s1"", ""7.3.14-c2-s1"", ""7.3.25-c2-s4""]"
72,0,"Under Victorian law, can a person assigned male at birth be sexually penetrated somewhere other than the anus or mouth?",7.3.2-c5-s1,7.3.2 “Vagina”,0,46,93,0,0.5,"[""7.3.25-c2-s3"", ""7.3.13.3-c1-s1"", ""7.3.13.1-c1-s1"", ""7.3.15.1-c1-s2"", ""7.3.15.4-c1-s2""]","[""7.3.25-c2-s3"", ""7.3.2-c4-s3"", ""7.3.25-c2-s4"", ""7.3.3-c3-s1"", ""7.3.25-c2-s2""]","[""7.3.25-c2-s3"", ""7.3.15.4-c1-s2"", ""7.3.15.3-c1-s2"", ""7.3.15.1-c1-s2"", ""7.3.25-c2-s4""]"
73,3,"On a crowded tram, Caleb briefly brushes Rina’s hand while reaching for a pole; later he privately admits he finds her attractive and had a sexual interest in her. On these grounds alone, is Caleb’s private sexual interest enough to make that brief hand contact “sexual touching”?",7.3.5-c4-s3,7.3.5 Sexual touching,2,7,1,1,0.25,"[""4.16-c4-s4"", ""7.3.5-c4-s3"", ""7.3.5.1A-c5-s2"", ""4.12.1-c2-s1"", ""8.2-c7-s2""]","[""7.3.5-c4-s1"", ""7.3.5-c4-s4"", ""7.3.18-c2-s1"", ""7.3.16.1-c3-s1"", ""7.3.18.1-c4-s1""]","[""7.3.5-c4-s3"", ""7.3.5-c5-s1"", ""4.16-c4-s4"", ""7.3.5.1A-c5-s2"", ""4.12.1-c2-s1""]"
74,2,"Assume the year is 2011. Nina is sexually aroused by feet and secretly attracted to her colleague Caleb. During a meeting, she slowly removes his shoe under the table, later admitting she did so purely for her own sexual gratification. Does her sexual motive alone make the removal of Caleb’s shoe an indecent assault?",7.3.6-c9-s2,"7.3.6 ""Indecent Circumstances""",1,1,1,1,0.5,"[""7.3.6-c9-s2"", ""7.3.6-c9-s1"", ""7.3.5-c4-s3"", ""7.3.6-c9-s3"", ""7.3.17-c2-s1""]","[""7.3.6-c9-s2"", ""7.3.6-c9-s3"", ""7.3.6-c1-s1"", ""7.3.5-c1-s1"", ""7.3.6-c4-s1""]","[""7.3.6-c9-s2"", ""7.3.6-c9-s3"", ""7.3.6-c9-s1"", ""7.3.17-c2-s1"", ""7.3.5-c1-s1""]"
